id_loker,pulau,provinsi,kota,job_position,skills_to_have,pendidikan,company_name,job_category,job_salary,job_type,platform
997,Jawa,Jawa Barat,Bandung,Accounting,"Corporate Finance, Finance Accounting, Financial Analysis, Financial Accounting, Finance",tidak dicantumkan,Pt Login Megastore,Finance,Perusahaan tidak menampilkan gaji,FULL_TIME,glints
998,Jawa,DKI Jakarta,Jakarta,Public Relation,"Good Interpersonal Skills, Negotiation, Self Motivated, Good Communication Skills, Lobby & Negotiation skill, Presentation Skills, Good Looking","d3, s1",Pt Cerdas Indonesia Berjangka,Education,"IDR 4,500,000-6,000,000 / month",FULL_TIME,glints
999,Jawa,DKI Jakarta,Jakarta,Software Engineer,"Node.js, JavaScript, Java, Rails Ruby, Python, PHP, Golang",tidak dicantumkan,RebelWorks,Software Engineering,"IDR 6,000,000-13,000,000 / month",FULL_TIME,glints
1000,Jawa,DKI Jakarta,Jakarta,Growth Analyst,"Fintech, Analytical Thinking, Project Management, Marketing FinTech",s1,Youtap Indonesia,Marketing,Perusahaan tidak menampilkan gaji,FULL_TIME,glints
1001,Jawa,Jawa Barat,Bandung,Web Developer,"Redux, JavaScript, React, Kanban, Typescript",tidak dicantumkan,Sense Health,Software Engineering,Perusahaan tidak menampilkan gaji,FULL_TIME,glints
1002,Jawa,DKI Jakarta,Jakarta,Mobile Developer,"Java, Kotlin, Android Development",s1,PT Cerdas Digital Nusantara (CAKAP),Software Engineering,"IDR 7,000,000-10,000,000 / month",FULL_TIME,glints
1003,Jawa,DKI Jakarta,Jakarta,Golang Developer,"Go Programming Language, Back End Developer, Software Engineering, Bahasa Php, Golang",tidak dicantumkan,RebelWorks,Software Engineering,"IDR 5,000,000-13,000,000 / month",FULL_TIME,glints
1004,Jawa,Jawa Barat,Bandung,Chief Marketing Officer,"Marketing Communications, Marketing, Market Research, Project Management, Innovation & Growth, Business Growth Strategy, Growth Hacking, Marketing Strategy, Data Analysis, Sales Marketing",tidak dicantumkan,Labtek Indie,Marketing,Perusahaan tidak menampilkan gaji,FULL_TIME,glints
1005,Jawa,DKI Jakarta,Jakarta,Project Manager,"Programming, Project Management, Agile Project Management, Scrum",tidak dicantumkan,RebelWorks,Product Management,"IDR 7,000,000-12,000,000 / month",FULL_TIME,glints
1006,Jawa,DKI Jakarta,Jakarta,Programmer,"Spring Boot, Software Engineering, Java Programming",tidak dicantumkan,RebelWorks,Software Engineering,"IDR 5,000,000-13,000,000 / month",FULL_TIME,glints
