id_loker,pulau,provinsi,job_position,company_name,years_of_experience,years_of_experience_cat,average_processing_time,company_industry,company_size,work_environment_waktu_bekerja,work_environment_gaya_berpakaian,work_environment_gaya_berpakaian_contoh,work_environment_tunjangan,work_environment_bahasa,platform,pendidikan,jumlah_loker_per_provinsi
81,Sumatera,Riau,Field Collection Duri,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",Indonesia,jobstreet,"D3, S1, SMA",86
82,Jawa,Banten,Data Engineer,Grivy,3,0 - 4 tahun,3,Telekomunikasi,1- 50 pekerja,tidak spesifik,kasual,kaos,"kesehatan, umum, pendidikan",Inggris,jobstreet,TIDAK DICANTUMKAN,1219
83,Jawa,Banten,Software Test Engineer,PT. Asia Chemical Industry,3,0 - 4 tahun,14,Manufaktur/Produksi,201 - 500 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum",Indonesia,jobstreet,S1,1219
84,Jawa,Daerah Khusus Ibukota Jakarta,Is Developer,PT PAM Lyonnaise Jaya (Palyja),1,0 - 4 tahun,14,Layanan Umum/Tenaga Penggerak,1001 - 2000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, kacamata",Indonesia,jobstreet,S1,5985
85,Jawa,Daerah Khusus Ibukota Jakarta,It Oracle Developer,PT Enseval Putera Megatrading Tbk,0,0 - 4 tahun,14,Transportasi/Logistik,lebih dari 5000 pekerja,senin - jumat,"bisnis, formal","kemeja, kemeja polos & dasi","kesehatan, umum, bpjs kesehatan",Indonesia,jobstreet,TIDAK DICANTUMKAN,5985
86,Sumatera,Jambi,Field Collection Muara Bulian,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",Indonesia,jobstreet,"D3, S1, SMA",37
87,Jawa,Daerah Khusus Ibukota Jakarta,It Business Analyst,PT Enseval Putera Megatrading Tbk,3,0 - 4 tahun,14,Transportasi/Logistik,lebih dari 5000 pekerja,senin - jumat,"bisnis, formal","kemeja, kemeja polos & dasi","kesehatan, umum, bpjs kesehatan",Indonesia,jobstreet,S1,5985
88,Sumatera,Sumatera Barat,Field Collection Bukittinggi,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",Indonesia,jobstreet,"D3, S1, SMA",17
89,Jawa,Daerah Khusus Ibukota Jakarta,Product Specialist,PT Nutech Integrasi,2,0 - 4 tahun,14,"Konsultasi (IT, Ilmu Pengetahuan, Teknis & Teknikal)",201 - 500 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, umum, pendidikan, bpjs kesehatan",Indonesia,jobstreet,S1,5985
90,Jawa,Jawa Barat,Field Collection Cianjur,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",Indonesia,jobstreet,"D3, S1, SMA",1771
91,Sumatera,Sumatera Utara,Field Collection Tebing Tinggi,OTO Group,0,0 - 4 tahun,14,Perbankan/Pelayanan Keuangan,lebih dari 5000 pekerja,senin - jumat,bisnis,kemeja,"kesehatan, bonus",Indonesia,jobstreet,"D3, S1, SMA",225
